id	external_id	link
SPCC736.12c.1	GO:1990251	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:1990251">GO:1990251</a>
SPCC736.11.1	GO:0003723	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003723">GO:0003723</a>
SPCC736.11.1	GO:0003727	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003727">GO:0003727</a>
SPCC736.11.1	GO:0090502	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0090502">GO:0090502</a>
SPCC736.11.1	GO:0016891	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0016891">GO:0016891</a>
SPCC736.11.1	GO:0070924	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0070924">GO:0070924</a>
SPCC736.11.1	GO:0090502	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0090502">GO:0090502</a>
SPCC736.11.1	GO:0033562	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0033562">GO:0033562</a>
SPCC736.11.1	GO:0070868	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0070868">GO:0070868</a>
SPCC736.11.1	GO:0070919	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0070919">GO:0070919</a>
SPCC126.04c.1	GO:0030958	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0030958">GO:0030958</a>
SPBC16A3.07c.1	GO:0000122	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000122">GO:0000122</a>
SPCC736.12c.1	GO:0003729	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0003729">GO:0003729</a>
SPCC736.12c.1	GO:0051447	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0051447">GO:0051447</a>
SPCC736.04c.1	GO:0006491	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0006491">GO:0006491</a>
SPCC553.07c.1	GO:0070987	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0070987">GO:0070987</a>
SPCC736.08.1	GO:0043565	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0043565">GO:0043565</a>
SPCC736.14.1	GO:0015630	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0015630">GO:0015630</a>
SPCC736.14.1	GO:0072686	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0072686">GO:0072686</a>
SPCC736.14.1	GO:0044732	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0044732">GO:0044732</a>
SPBC11C11.03.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC736.14.1	GO:0000778	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000778">GO:0000778</a>
SPCC736.14.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
